Team,Position,Shirt number,Name,Minutes played,Games played,Percentage of games played,Full games played,Percentage of full games played,Games started,Percentage of games started,Games where substituted,Percentage of games where substituted,Yellow Cards,Red Cards,Second Yellows,Goals scored,Penalties scored,Own goals,Goals conceded while player on pitch,Tackles,Interceptions,Recoveries,Clearances,Successful tackles,Unssuccessful tackles,Last man,Successful duels,Duels lost,Successful aerial challenges,Unsuccessful aerial challenges,Offsides,Fouls suffered,Fouls committed,Penalties won,Penalties given away,Handballs committed,Fouls committed per card,Shots,Shots on target,Assists,Successful dribbles,Unsuccessful dribbles,Goals scored,From inside the area,From outside the area,Goals with left foot,Goals with right foot,Penalties scored,Goals scored with header,Goals from set piece,Crosses,Corners,Tackles,Duels,Man-to-man duels,Aerial duels,Passes,Short passes,Long passes,Through balls,Goals scored per attempt
CD Leganés,Defender,19,Muñoz,6,0,"5,0%",0,"3,0%",0,"5,0%",0,"3,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0
CD Leganés,Defender,22,Siovas,80,1,"2,0%",1,"2,0%",1,"2,0%",0,"0,0%",0,0,0,0,0,0,1,0,2,6,4,1,1,0,2,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,4,37,28,9,0,0
CD Leganés,Defender,24,K. Omeruo,64,1,"73,0%",1,"68,0%",1,"70,0%",0,"5,0%",0,0,0,0,0,0,1,0,1,4,4,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,25,20,6,0,0
CD Leganés,Midfielder,,Óscar,66,1,"81,0%",0,"41,0%",1,"76,0%",0,"41,0%",0,0,0,0,0,0,1,0,0,4,0,1,1,0,3,4,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,1,9,7,2,25,22,3,0,0
CD Leganés,Midfielder,6,Gumbau,35,1,"1,0%",0,"1,0%",0,"1,0%",0,"0,0%",0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,3,1,12,10,2,0,0
CD Leganés,Midfielder,8,Recio,35,1,"1,0%",0,"1,0%",0,"1,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,18,16,1,0,0
CD Leganés,Midfielder,10,El Zhar,26,1,"2,0%",0,"0,0%",0,"1,0%",1,"2,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,4,3,1,7,6,1,0,0
CD Leganés,Midfielder,11,Szymanowski,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD Leganés,Midfielder,17,Eraso,19,0,"1,0%",0,"0,0%",0,"1,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,6,6,0,0,0
CD Leganés,Midfielder,21,Rubén Pérez J.,65,1,"81,0%",1,"65,0%",1,"70,0%",0,"16,0%",0,0,0,0,0,0,1,0,1,6,1,1,1,0,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,2,35,29,6,0,0
CD Leganés,Midfielder,23,Vesga,55,1,"68,0%",0,"38,0%",1,"59,0%",0,"30,0%",0,0,0,0,0,0,1,0,1,4,1,1,1,0,2,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,8,6,2,21,19,2,0,0
CD Leganés,Midfielder,33,Javier Avilés,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD Leganés,Forward,,Youssef En-Nesyri,55,1,"81,0%",0,"35,0%",1,"59,0%",1,"46,0%",0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,4,4,3,0,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12,6,7,12,12,1,0,0
CD Leganés,Forward,9,Carrillo,53,1,"84,0%",0,"30,0%",1,"59,0%",1,"54,0%",0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,2,6,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,3,10,17,16,1,0,0
CD Leganés,Forward,16,Jose Arnáiz,3,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
CD Leganés,Forward,18,Sabin Merino,9,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,0,0,0
CD Leganés,Forward,20,Santos,16,1,"1,0%",0,"0,0%",0,"0,0%",1,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,3,0,0,0
CD Leganés,Forward,25,Braithwaite,37,1,"49,0%",0,"19,0%",0,"41,0%",0,"30,0%",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,6,6,0,0,0
D. Alavés,Goalkeeper,1,Pacheco,85,1,"2,0%",1,"2,0%",1,"2,0%",0,"0,0%",0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,21,0,0
D. Alavés,Goalkeeper,13,Sivera,7,0,"5,0%",0,"5,0%",0,"5,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
D. Alavés,Goalkeeper,31,Álex Domínguez,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Alavés,Defender,2,Vigaray,17,0,"19,0%",0,"14,0%",0,"16,0%",0,"5,0%",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,3,1,0,0
D. Alavés,Defender,3,R. Duarte,75,1,"2,0%",1,"2,0%",1,"2,0%",0,"0,0%",0,0,0,0,0,0,1,0,2,4,3,1,1,0,4,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,6,3,25,18,7,0,0
D. Alavés,Defender,4,Ely,13,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,3,1,0,0
D. Alavés,Defender,5,Laguardia,85,1,"95,0%",1,"95,0%",1,"95,0%",0,"0,0%",0,0,0,0,0,0,1,1,1,4,6,1,0,0,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,4,33,24,10,0,0
D. Alavés,Defender,6,Maripán,61,1,"2,0%",1,"2,0%",1,"2,0%",0,"0,0%",0,0,0,0,0,0,1,1,1,3,4,1,1,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,4,22,16,6,0,0
D. Alavés,Defender,15,Ximo Navarro,67,1,"81,0%",1,"68,0%",1,"73,0%",0,"14,0%",0,0,0,0,0,0,1,0,1,4,3,1,1,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,4,2,22,18,4,0,0
D. Alavés,Defender,17,Adrián Marín,8,0,"14,0%",0,"3,0%",0,"3,0%",0,"11,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0
D. Alavés,Defender,21,Martín,55,1,"2,0%",1,"1,0%",1,"2,0%",0,"1,0%",0,0,0,0,0,0,1,0,1,3,2,1,0,0,3,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,4,1,20,16,3,0,0
D. Alavés,Midfielder,,Álex Blanco,0,0,"3,0%",0,"0,0%",0,"0,0%",0,"3,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Alavés,Midfielder,8,T. Pina,62,1,"73,0%",1,"59,0%",1,"70,0%",0,"14,0%",0,0,0,0,0,0,1,0,1,6,1,1,1,0,3,3,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,3,28,26,2,0,0
D. Alavés,Midfielder,11,Inui,35,1,"2,0%",0,"0,0%",0,"1,0%",1,"1,0%",0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,10,9,1,0,0
D. Alavés,Midfielder,19,Manu,61,1,"89,0%",1,"54,0%",1,"65,0%",0,"35,0%",0,0,0,0,0,0,1,0,1,5,2,1,1,0,4,4,3,2,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,8,5,25,22,2,0,0
D. Alavés,Midfielder,20,Darko,43,1,"2,0%",0,"1,0%",1,"1,0%",0,"1,0%",0,0,0,0,0,0,1,0,0,3,1,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,17,16,1,0,0
D. Alavés,Midfielder,22,M. Wakaso,44,1,"76,0%",0,"30,0%",1,"46,0%",0,"46,0%",0,0,0,0,0,0,1,0,0,4,0,1,0,0,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,5,2,17,14,3,0,0
D. Alavés,Midfielder,23,Jony,79,1,"95,0%",0,"46,0%",1,"89,0%",1,"49,0%",0,0,0,0,0,0,1,0,1,5,0,0,0,0,3,5,0,1,0,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,6,3,1,9,8,1,21,17,4,0,0
D. Alavés,Midfielder,32,Paulino De la Fuente,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Alavés,Midfielder,34,Andrei Lupu,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Alavés,Forward,9,Rolan,13,0,"38,0%",0,"0,0%",0,"11,0%",0,"38,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,4,0,0,0
D. Alavés,Forward,10,Guidetti,16,1,"57,0%",0,"3,0%",0,"16,0%",1,"54,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,4,0,0,0
D. Alavés,Forward,12,Calleri,76,1,"89,0%",1,"62,0%",1,"86,0%",0,"27,0%",0,0,0,0,0,0,1,0,0,2,1,0,0,0,3,5,5,6,0,2,2,0,0,0,0,2,1,0,1,1,0,0,0,0,2,0,0,0,1,0,1,20,8,12,18,17,1,0,0
D. Alavés,Forward,14,Burgui,20,1,"2,0%",0,"0,0%",0,"1,0%",1,"2,0%",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7,7,1,0,0
D. Alavés,Forward,18,Borja,39,1,"2,0%",0,"0,0%",1,"1,0%",1,"2,0%",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,9,8,0,0,0
D. Alavés,Forward,24,Twumasi,4,0,"27,0%",0,"0,0%",0,"0,0%",0,"27,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
FC Barcelona,Goalkeeper,1,Ter Stegen,90,1,"3,0%",1,"3,0%",1,"3,0%",0,"0,0%",0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,9,0,0
FC Barcelona,Goalkeeper,13,Cillessen,7,0,"5,0%",0,"5,0%",0,"5,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0
FC Barcelona,Goalkeeper,30,Iñaki Peña,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Barcelona,Defender,,Jeison Murillo,6,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,0,0
FC Barcelona,Defender,2,N. Semedo,42,1,"68,0%",0,"35,0%",1,"51,0%",0,"32,0%",0,0,0,0,0,0,0,0,1,3,1,1,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,28,27,1,0,0
FC Barcelona,Defender,3,Piqué,83,1,"92,0%",1,"92,0%",1,"92,0%",0,"0,0%",0,0,0,0,0,0,1,1,1,7,4,1,0,0,2,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,4,63,57,6,0,0
FC Barcelona,Defender,6,Todibo,4,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0
FC Barcelona,Defender,15,Clement Lenglet,51,1,"59,0%",1,"49,0%",1,"57,0%",0,"11,0%",0,0,0,0,0,0,1,1,1,3,2,1,1,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,30,27,3,0,0
FC Barcelona,Defender,18,Jordi Alba,79,1,"95,0%",1,"84,0%",1,"84,0%",0,"11,0%",0,0,0,0,0,0,1,0,2,6,2,1,1,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,4,1,62,58,4,0,0
FC Barcelona,Defender,20,S. Roberto,55,1,"76,0%",1,"49,0%",1,"59,0%",0,"27,0%",0,0,0,0,0,0,1,0,1,3,1,1,0,0,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,2,43,41,1,0,0
FC Barcelona,Defender,23,Umtiti,32,0,"1,0%",0,"1,0%",0,"1,0%",0,"0,0%",0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,24,23,1,0,0
FC Barcelona,Defender,24,Vermaelen,16,0,"1,0%",0,"0,0%",0,"1,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,10,1,0,0
FC Barcelona,Defender,33,Juan Miranda,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Barcelona,Defender,38,Guillem Jaime,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Barcelona,Midfielder,4,I. Rakitić,70,1,"89,0%",1,"62,0%",1,"76,0%",0,"27,0%",0,0,0,0,0,0,1,0,1,6,1,1,0,0,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,5,2,67,61,5,0,0
FC Barcelona,Midfielder,5,Sergio,72,1,"92,0%",1,"54,0%",1,"78,0%",0,"38,0%",0,0,0,0,0,0,1,0,1,5,1,2,1,0,4,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,3,63,58,5,0,0
FC Barcelona,Midfielder,7,Coutinho,55,1,"2,0%",0,"1,0%",1,"2,0%",1,"2,0%",0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,3,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,7,6,1,38,36,1,0,0
FC Barcelona,Midfielder,8,Arthur,40,1,"2,0%",0,"0,0%",1,"1,0%",1,"2,0%",0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,36,34,2,0,0
FC Barcelona,Midfielder,12,Rafinha,17,0,"1,0%",0,"0,0%",0,"1,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,11,11,1,0,0
FC Barcelona,Midfielder,21,Aleñá,17,0,"43,0%",0,"3,0%",0,"16,0%",0,"41,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,15,14,1,0,0
FC Barcelona,Midfielder,22,Vidal,51,1,"86,0%",0,"27,0%",1,"57,0%",1,"59,0%",0,0,0,0,0,0,1,0,1,3,1,1,1,0,3,3,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,2,39,37,2,0,0
FC Barcelona,Forward,9,Suárez,81,1,"2,0%",1,"2,0%",1,"2,0%",0,"1,0%",0,0,0,1,0,0,1,0,0,2,1,0,0,0,3,4,1,0,1,2,1,0,0,0,0,3,2,0,1,2,0,0,0,1,4,0,0,0,1,0,1,8,7,1,27,25,2,0,0
FC Barcelona,Forward,10,Messi,71,1,"89,0%",1,"73,0%",1,"76,0%",0,"16,0%",0,0,0,1,0,0,1,0,0,2,0,0,0,0,6,5,0,0,0,2,1,0,0,0,0,4,2,0,4,2,0,0,1,0,4,0,0,0,1,2,0,11,11,0,48,42,4,2,0
FC Barcelona,Forward,11,O. Dembélé,46,1,"2,0%",0,"0,0%",1,"2,0%",1,"2,0%",0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,2,2,1,7,6,1,25,24,1,0,0
FC Barcelona,Forward,14,Malcom,16,0,"38,0%",0,"8,0%",0,"14,0%",0,"30,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,8,0,0,0
FC Barcelona,Forward,19,Kevin-Prince Boateng,7,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0
Getafe CF,Goalkeeper,1,Chichizola,3,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Getafe CF,Goalkeeper,13,David Soria,88,1,"97,0%",1,"97,0%",1,"97,0%",0,"0,0%",0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,26,0,0
Getafe CF,Goalkeeper,25,R. Yáñez,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Getafe CF,Defender,2,Djené,81,1,"2,0%",1,"2,0%",1,"2,0%",0,"1,0%",0,0,0,0,0,0,1,0,2,7,4,1,1,0,3,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,5,26,20,7,0,0
Getafe CF,Defender,3,Antunes,68,1,"2,0%",1,"2,0%",1,"2,0%",0,"1,0%",0,0,0,0,0,0,1,0,1,5,2,1,1,0,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,7,5,2,25,17,8,0,0
Getafe CF,Defender,4,Bruno,45,1,"59,0%",0,"43,0%",1,"46,0%",0,"16,0%",0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,13,10,3,0,0
Getafe CF,Defender,6,Cabrera,74,1,"84,0%",1,"78,0%",1,"81,0%",0,"5,0%",0,0,0,0,0,0,1,0,1,4,6,1,1,0,2,1,4,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,3,6,25,15,10,0,0
Getafe CF,Defender,17,Olivera,27,0,"1,0%",0,"1,0%",0,"1,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,3,9,8,1,0,0
Getafe CF,Defender,21,Miquel,9,0,"1,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0
Getafe CF,Defender,22,Damián Suárez,85,1,"95,0%",1,"95,0%",1,"95,0%",0,"0,0%",0,0,0,0,0,0,1,0,1,7,1,2,1,0,5,4,1,1,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,3,11,9,2,35,26,9,0,0
Getafe CF,Defender,24,Foulquier,48,1,"65,0%",0,"27,0%",1,"59,0%",0,"38,0%",0,0,0,0,0,0,1,0,1,3,1,0,0,0,2,3,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,8,5,2,11,9,1,0,0
Getafe CF,Defender,29,Miguel Ángel Rubio,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Getafe CF,Midfielder,5,M. Bergara,6,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0
Getafe CF,Midfielder,8,Portillo,52,1,"84,0%",0,"27,0%",1,"49,0%",1,"57,0%",0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,3,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,7,6,1,20,18,1,0,0
Getafe CF,Midfielder,10,Gaku,10,0,"16,0%",0,"5,0%",0,"14,0%",0,"11,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0
Getafe CF,Midfielder,11,Samu Sáiz,8,0,"24,0%",0,"0,0%",0,"5,0%",0,"24,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,0,0
Getafe CF,Midfielder,15,S. Cristóforo,12,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,3,1,0,0
Getafe CF,Midfielder,16,Mathieu Flamini,13,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,4,0,0,0
