Team,Position,Shirt number,Name,Minutes played,Games played,Percentage of games played,Full games played,Percentage of full games played,Games started,Percentage of games started,Games where substituted,Percentage of games where substituted,Yellow Cards,Red Cards,Second Yellows,Goals scored,Penalties scored,Own goals,Goals conceded while player on pitch,Tackles,Interceptions,Recoveries,Clearances,Successful tackles,Unssuccessful tackles,Last man,Successful duels,Duels lost,Successful aerial challenges,Unsuccessful aerial challenges,Offsides,Fouls suffered,Fouls committed,Penalties won,Penalties given away,Handballs committed,Fouls committed per card,Shots,Shots on target,Assists,Successful dribbles,Unsuccessful dribbles,Goals scored,From inside the area,From outside the area,Goals with left foot,Goals with right foot,Penalties scored,Goals scored with header,Goals from set piece,Crosses,Corners,Tackles,Duels,Man-to-man duels,Aerial duels,Passes,Short passes,Long passes,Through balls,Goals scored per attempt
Athletic Club,Midfielder,18,De Marcos,67,1,"2,0%",1,"2,0%",1,"2,0%",0,"1,0%",0,0,0,0,0,0,1,0,1,3,1,1,1,0,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,5,2,29,26,3,0,0
Athletic Club,Midfielder,19,Ibai,54,1,"84,0%",0,"24,0%",1,"62,0%",1,"59,0%",0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,4,3,1,19,17,2,0,0
Athletic Club,Midfielder,21,Capa,43,1,"65,0%",0,"38,0%",0,"43,0%",0,"27,0%",0,0,0,0,0,0,1,0,1,2,1,1,0,0,2,3,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,6,5,1,18,16,3,0,0
Athletic Club,Midfielder,22,Raúl García,63,1,"86,0%",0,"35,0%",1,"70,0%",1,"51,0%",0,0,0,0,0,0,1,0,1,3,1,1,1,0,3,4,5,4,0,2,3,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,17,8,9,24,21,2,0,0
Athletic Club,Midfielder,23,Unai López,10,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,7,1,0,0
Athletic Club,Midfielder,32,Iñigo Vicente,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletic Club,Forward,,Gorka Guruzeta,2,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Athletic Club,Forward,2,Kenan Kodro,4,0,"1,0%",0,"0,0%",0,"0,0%",0,"1,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Athletic Club,Forward,9,Williams,80,1,"100,0%",1,"51,0%",1,"95,0%",1,"49,0%",0,0,0,0,0,0,1,0,0,2,1,1,0,0,3,4,2,3,1,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,12,7,5,18,18,0,0,0
Athletic Club,Forward,10,Muniain ,63,1,"89,0%",0,"41,0%",1,"70,0%",1,"49,0%",0,0,0,0,0,0,1,0,0,4,0,1,0,0,4,4,0,1,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,9,8,1,31,30,1,0,0
